SubmissionId,LeadId,SubChannelId,SubChannelName,MarketingUnitId,MUName,TrackId,CampaignName,ClientRelationshipId,CountAgainstCap
13489946,16907336,15,Paid Search,24,Degree,8F58D38E-0C57-4646-B51F-B05D0F1F68FE,ppc_google_ec_degree_police_loantest_eta_mpe,8655,1
13490372,16907786,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,2707,1
13490372,16907785,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,111,1
13490367,16907784,15,Paid Search,24,Degree,350E5E16-CC46-4528-8FE4-39FBD1F945A6,ppc_google_ec_degree_cna_new_loan_mpe,91,1
13490372,16907783,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,235,1
13490372,16907782,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,57,1
13490368,16907778,15,Paid Search,28,Head Terms,22E37B91-D892-4BF2-904E-2BD70591EB89,ppc_google_ec_generic_headterm_customermatch_mpe,8644,1
13490367,16907776,15,Paid Search,24,Degree,350E5E16-CC46-4528-8FE4-39FBD1F945A6,ppc_google_ec_degree_cna_new_loan_mpe,2,1
13490367,16907775,15,Paid Search,24,Degree,350E5E16-CC46-4528-8FE4-39FBD1F945A6,ppc_google_ec_degree_cna_new_loan_mpe,23,1
13490365,16907773,15,Paid Search,166,FinancialAid Premier,22C49138-C0DB-447E-8990-D757C11CFAD8,ppc_google_ec_newfinaid_federal_sitelink_mpe,8097,1
13490364,16907771,5,Traditional Display,74,Campus Explorer,5891F0C4-2979-4E38-B27F-388C76E0A6B4,display_ec_campusexplorer_medical_mpe,22,1
13490361,16907770,15,Paid Search,44,FinancialAidV2,6CD7FA49-3EA9-4A2F-A58E-2D903968C38C,ppc_google_ec_newfinaid_federal_mpe,91,1
13490359,16907769,15,Paid Search,47,Religion,30772EF4-DEE1-4460-BEF8-6A3AF217906F,ppc_msn_ce_ministry_notexclusive,2,1
13490362,16907768,15,Paid Search,217,Exclusive Prime,8E2B8BAE-7790-4162-B408-27F5A0F8E4E1,ppc_google_microsite_FTC_exclusiveprime_snhu,132,1
13490359,16907767,15,Paid Search,47,Religion,30772EF4-DEE1-4460-BEF8-6A3AF217906F,ppc_msn_ce_ministry_notexclusive,8714,1
